Project_webSummary, Project Title, Project N�, Project Website, Year Of Finance, Lead Partner Country, Type Of Beneficiary, Country, Themes, Keywords, Habitats, Species
index.cfm?fuseaction=search.dspPage&n_proj_id=2654,CHIROFRSUD - Conservation of 3 cave-dwelling bats in Southern France,LIFE04 NAT/FR/000080,"http://www.sfepm.org/LifeChiropteres/Accueil.htm,",2004,FR,NGO-Foundation,France,Species ~ Mammals /,abandoned industrial site / animal corridor / cartography / information network / land purchase / mine / monitoring /,Unknown (site without information) /,Miniopterus schreibersii / Myotis capaccinii / Rhinolophus euryale /
index.cfm?fuseaction=search.dspPage&n_proj_id=2655,LIFE TBFPA - Headwater streams and faunistic Heritage associated,LIFE04 NAT/FR/000082,"http://www.liferuisseaux.org/,",2004,FR,Park-Reserve authority,France,Habitats ~ Freshwater /,aquatic ecosystem / environmental impact of agriculture / forest ecosystem / hydrographic basin / introduction of animal species / land purchase / pest control / river management / water quality improvement / water resources management /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation /",Austropotamobius pallipes / Cottus gobio / Lampetra planeri / Margaritifera margaritifera /
index.cfm?fuseaction=search.dspPage&n_proj_id=2656,Apron II - Programme for the conservation of the Rhône-Apron (Zingel asper) and its habitats,LIFE04 NAT/FR/000083,"http://www.aprondurhone.fr/,",2004,FR,NGO-Foundation,France,Species ~ Fish /,aquatic ecosystem / conservation of genetic resources / hydrographic basin / introduction of animal species / river / water resources management /,Non applicable (i.e.species project) /,Zingel asper /
index.cfm?fuseaction=search.dspPage&n_proj_id=2657,Acrocephalus Bretagne - Conservation of the Aquatic Warbler in Brittany,LIFE04 NAT/FR/000086,"http://www.life-moule-perliere.org/accueilphragmite2.php,",2004,FR,NGO-Foundation,France,Habitats ~ Coastal / Species ~ Birds /,coastal area / land purchase / migratory species / monitoring / public awareness campaign / ringing (wildlife) / water resources management / wetland /,Atlantic salt meadows (Glauco-Puccinellietalia maritimae) / Coastal lagoons / Humid dune slacks / Mediterranean salt meadows (Juncetalia maritimi) / Salicornia and other annuals colonizing mud and sand /,Acrocephalus paludicola /
index.cfm?fuseaction=search.dspPage&n_proj_id=2658,LIFE Marais - Conservation of the most remarkables habitats and species of the Poitevin Marshes,LIFE04 NAT/FR/000087,"http://www.parc-marais-poitevin.fr/approfondir/les_dossiers_du_parc/life_nature_conservation_des_especes_et_des_habitats.html,",2004,FR,Park-Reserve authority,France,Habitats ~ Freshwater / Land-use &amp; Planning ~ Forest management / Species ~ Mammals /,biotope network / cartography / conflicting use / cultural heritage / environmental impact of agriculture / freshwater ecosystem / grazing / land purchase / land restoration / management plan / monitoring / public awareness campaign / rural area / site rehabilitation / wetland /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / Coastal lagoons / Mediterranean salt meadows (Juncetalia maritimi) / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation /",None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2659,"RENF TETRAX - Reinforcement of the migratory breeding populations of the Little Bustard, Tetrax tetrax in France",LIFE04 NAT/FR/000091,"http://outarde.lpo.fr,",2004,FR,NGO-Foundation,France,Species ~ Birds /,introduction of animal species / migratory species / monitoring / policy integration / public awareness campaign / rural area /,Unknown (site without information) /,Tetrax tetrax /
index.cfm?fuseaction=search.dspPage&n_proj_id=2621,SCANS-II - Small Cetaceans in the European Atlantic and North Sea,LIFE04 NAT/GB/000245,"http://biology.st-andrews.ac.uk/scans2/index.html,",2004,UK,University,United Kingdom,Habitats ~ Marine / Species ~ Mammals /,aquatic ecosystem / cartography / decision making support / ecological assessment / environmental impact assessment / environmentally responsible behaviour / evaluation method / fishing industry / indicator / information network / information system / management plan / marine ecosystem / monitoring / policy integration / population dynamics / research project / risk assessment /,Non applicable (i.e.species project) /,Delphinus delphis / Phocoena phocoena / Tursiops truncatus /
index.cfm?fuseaction=search.dspPage&n_proj_id=2620,CASS - Conservation of Atlantic salmon in Scotland,LIFE04 NAT/GB/000250,"http://www.snh.org.uk/salmonlifeproject/index.asp,",2004,UK,Regional authority,United Kingdom,Biodiversity issues ~ Ecological coherence / Species ~ Fish /,animal corridor / aquatic ecosystem / conflicting use / conservation of genetic resources / ecological assessment / environmental education / environmental impact assessment / environmental training / environmentally friendly product / environmentally responsible behaviour / evaluation method / fishing industry / freshwater ecosystem / informal negotiation / information network / information system / integrated management / modelling / population dynamics / public awareness campaign / restoration measure / risk management / rural development / social participation / sustainable development / wildlife sanctuary /,Unknown (site without information) /,Salmo salar /
index.cfm?fuseaction=search.dspPage&n_proj_id=2672,TILOS - Conservation management of an Island SPA,LIFE04 NAT/GR/000101,"http://www.tilos-park.org.gr/tiloslife/,",2004,GR,Local authority,Ellas,Species ~ Birds /,environmental awareness / island / island ecosystem / monitoring / nature conservation /,,Falco eleonorae / Hieraaetus fasciatus / Phalacrocorax aristotelis desmarestii /
index.cfm?fuseaction=search.dspPage&n_proj_id=2673,CRETAPLANT - A pilot network of plant micro-reserves in Western Crete,LIFE04 NAT/GR/000104,"http://cretaplant.biol.uoa.gr/,",2004,GR,University,Ellas,Species ~ Plants /,biotope network / environmental education / grazing / monitoring system / plant reserves / tourism /,Palm groves of Phoenix /,Androcymbium rechingeri / Anthemis glaberrima / Bupleurum kakiskalae / Cephalanthera cucullata / Hypericum aciferum / Nepeta sphaciotica /
index.cfm?fuseaction=search.dspPage&n_proj_id=2674,MEDPONDS - Actions for the conservation of Mediterranean temporary ponds in Crete,LIFE04 NAT/GR/000105,"http://www.life-medponds.gr/,",2004,GR,Research institution,Ellas,Habitats ~ Freshwater / Land-use &amp; Planning ~ Forest management /,aquatic ecosystem / environmental education / environmental impact of agriculture / grazing / nature conservation / site rehabilitation /,Mediterranean temporary ponds /,None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2671,OTISHU - Conservation of Otis tarda in Hungary,LIFE04 NAT/HU/000109,"http://www.tuzok.hu/,",2004,HU,Park-Reserve authority,Hungary Magyarország,Species ~ Birds /,conflicting use / conservation of genetic resources / ecological assessment / environmental education / environmental impact of agriculture / environmentally responsible behaviour / hunting / indicator / informal negotiation / land purchase / land use planning / management contract / management plan / monitoring / pest control / policy integration / population dynamics / public awareness campaign / risk management / site rehabilitation / social participation / wildlife sanctuary /,"&quot;Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)&quot; / Pannonic loess steppic grasslands / Pannonic salt steppes and salt marshes /",Otis tarda /
index.cfm?fuseaction=search.dspPage&n_proj_id=2665,HUNVIPURS - Establishing the background of saving the Hungarian meadow viper (Vipera ursinii rakosiensis) from extinction,LIFE04 NAT/HU/000116,"http://www.rakosivipera.hu,",2004,HU,NGO-Foundation,Hungary Magyarország,Biodiversity issues ~ Ecological coherence / Species ~ Reptiles /,animal corridor / conflicting use / conservation of genetic resources / environmental education / environmental impact of agriculture / grassland ecosystem / introduction of animal species / land restoration / monitoring / population dynamics / public awareness campaign / restoration measure / risk management / site rehabilitation / wildlife sanctuary /,Non applicable (i.e.species project) /,Vipera ursinii rakosiensis /
index.cfm?fuseaction=search.dspPage&n_proj_id=2666,"BER(HNP) - Complex habitat rehabilitation of the Central Bereg Plain, Northeast Hungary",LIFE04 NAT/HU/000118,,2004,HU,Park-Reserve authority,Hungary Magyarország,Habitats ~ Bogs and Mires /,agricultural pollution / conflicting use / diffuse pollution / drainage system / environmental impact of agriculture / environmental training / environmentally responsible behaviour / eutrophication / forest management / informal negotiation / integrated management / land purchase / land restoration / management contract / monitoring / pollution prevention / public awareness campaign / renaturation / restoration measure / site rehabilitation / social participation / water resources management / wetlands ecosystem /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / &quot;Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)&quot; / Active raised bogs / Alkaline fens / Pannonic woods with Quercus petraea and Carpinus betulus / Transition mires and quaking bogs /",None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2667,EPU(HNP) - Grassland restoration and marsh protectin in Egyek-Pusztakócs,LIFE04 NAT/HU/000119,"http://life2004.hnp.hu/,",2004,HU,Park-Reserve authority,Hungary Magyarország,Habitats ~ Grasslands /,agricultural pollution / conflicting use / diffuse pollution / drainage system / ecological assessment / environmental impact of agriculture / forest management / grassland ecosystem / grazing / integrated management / land purchase / land restoration / landscape conservation policy / management contract / pollution prevention / public awareness campaign / reforestation / renaturation / restoration measure / site rehabilitation / water resources management / wetlands ecosystem /,Pannonic loess steppic grasslands / Pannonic salt steppes and salt marshes /,None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2662,RRBI - Restoring raised bogs in Ireland,LIFE04 NAT/IE/000121,"http://www.raisedbogrestoration.ie/life04/,",2004,IE,Public enterprise,Ireland,Habitats ~ Bogs and Mires /,conflicting use / drainage system / ecological assessment / forest management / forestry / land restoration / landscape conservation policy / policy integration / public awareness campaign / renaturation / restoration measure / site rehabilitation / wetlands ecosystem /,Active raised bogs / Alkaline fens / Bog woodland / Degraded raised bogs still capable of natural regeneration /,None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2661,BurrenLIFE - Farming for conservation in the Burren,LIFE04 NAT/IE/000125,"http://www.burrenlife.com,",2004,IE,National authority,Ireland,Biodiversity issues ~ High Nature Value farmland / Habitats ~ Grasslands /,decision making support / development planning / ecological assessment / environmental impact of agriculture / environmentally friendly product / environmentally responsible behaviour / evaluation method / grassland ecosystem / grazing / indicator / informal negotiation / information system / integrated management / land restoration / land use planning / landscape conservation policy / management contract / modelling / monitoring / policy integration / public-private partnership / research project / rural development / site rehabilitation / social participation / sustainable development /,Calcareous fens with Cladium mariscus and species of the Caricion davallianae / Limestone pavements / Petrifying springs with tufa formation (Cratoneurion) / Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites) / Turloughs /,None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2660,COBICE - Conservation and breeding of Italian cobice endemic sturgeon,LIFE04 NAT/IT/000126,,2004,IT,Park-Reserve authority,Italia,Information - Governance ~ Public and Stakeholders participation / Species ~ Fish /,conservation of genetic resources / introduction of animal species / migratory species / protected area /,Non applicable (i.e.species project) /,Acipenser naccarii /
index.cfm?fuseaction=search.dspPage&n_proj_id=2651,COEX - Improving coexistence of large carnivores and agriculture in S. Europe,LIFE04 NAT/IT/000144,"http://www.life-coex.net ,",2004,IT,NGO-Foundation,Italia,Industry-Production ~ Agriculture - Forestry / Species ~ Mammals /,endangered species / nature conservation /,Non applicable (i.e.species project) /,Canis lupus / Ursus arctos /
index.cfm?fuseaction=search.dspPage&n_proj_id=2648,Alta Tuscia - Actions to preserve the NATURA 2000 sites in Alta Tuscia Viterbese,LIFE04 NAT/IT/000153,"http://www.life-natura.viterbo.it/,",2004,IT,Local authority,Italia,Habitats ~ Forests /,environmental impact of agriculture / management plan / nature reserve / protected area / restoration measure / water pollution /,Apeninne beech forests with Taxus and Ilex / Constantly flowing Mediterranean rivers with Paspalo-Agrostidion species and hanging curtains of Salix and Populus alba / Hard oligo-mesotrophic waters with benthic vegetation of Chara spp. / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation / Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea / Pseudo-steppe with grasses and annuals of the Thero-Brachypodietea / Quercus ilex and Quercus rotundifolia forests / Rupicolous calcareous or basophilic grasslands of the Alysso-Sedion albi / Salix alba and Populus alba galleries / Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites) / Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation /,None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2646,Lago Ganna - Requalification interventions of SIC Ganna's Lake,LIFE04 NAT/IT/000159,"http://www.parcocampodeifiori.it/detaillist/life-2004.aspx,",2004,IT,Park-Reserve authority,Italia,Biodiversity issues ~ Invasive species / Species ~ Amphibians /,lake / protected area / restoration measure / sensitive area /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / &quot;Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)&quot; / Calcareous fens with Cladium mariscus and species of the Caricion davallianae / Depressions on peat substrates of the Rhynchosporion / Hard oligo-mesotrophic waters with benthic vegetation of Chara spp. / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation /",Austropotamobius pallipes / Rana latastei /
index.cfm?fuseaction=search.dspPage&n_proj_id=2640,SiAurora - Aurora System - active presentation of Salamandra atra aurorae and other amphibians,LIFE04 NAT/IT/000167,"http://www.prealpitrevigiane.it/life.asp,",2004,IT,Local authority,Italia,Species ~ Amphibians /,management plan / mountainous area / public-private partnership /,Non applicable (i.e.species project) /,Bombina variegata / Rana latastei / Salamandra aurorae / Triturus carnifex /
index.cfm?fuseaction=search.dspPage&n_proj_id=2631,ISOTOSCA - Tuscan Islands: new actions towards sea birds and habitat,LIFE04 NAT/IT/000172,"http://www.islepark.it/natura/progettolife/index.htm,",2004,IT,Park-Reserve authority,Italia,Biodiversity issues ~ Invasive species / Habitats ~ Marine / Species ~ Birds /,endangered species / island / management plan / protected area /,Arborescent matorral with Juniperus spp. / Mediterranean temporary ponds / Pseudo-steppe with grasses and annuals of the Thero-Brachypodietea /,Calonectris diomedea / Hydrobates pelagicus / Larus audouinii / Phalacrocorax aristotelis desmarestii / Puffinus yelkouan /
index.cfm?fuseaction=search.dspPage&n_proj_id=2632,BIARMICUS - Protection of habitats and raptors in M. Labbro and Upper Albegna Valley,LIFE04 NAT/IT/000173,"http://www.lifelabbroalbegna.it/indexlife2.htm,",2004,IT,Local authority,Italia,Species ~ Birds /,mountainous area / protected area / public awareness campaign / restoration measure /,Juniperus communis formations on heaths or calcareous grasslands / Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites) /,None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2643,Danta2004 - Safeguard and showing off of the peat-bogs in Danta (Cadore),LIFE04 NAT/IT/000177,"http://www.torbieredanta.info/,",2004,IT,Local authority,Italia,Habitats ~ Bogs and Mires /,land purchase / mountainous area / restoration measure / wetland /,"&quot;Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)&quot; / &quot;Species-rich Nardus grasslands, on silicious substrates in mountain areas (and submountain areas in Continental Europe)&quot; / Acidophilous Picea forests of the montane to alpine levels (Vaccinio-Piceetea) / Alkaline fens / Bog woodland / Depressions on peat substrates of the Rhynchosporion / Transition mires and quaking bogs /",None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2639,MACALIFE - Preservation and extension of priority habitats damaged from agriculture activity,LIFE04 NAT/IT/000182,"http://www.macalife.it/,",2004,IT,Local authority,Italia,Species ~ Plants /,endangered species / endemic species / forest fire / land purchase / restoration measure /,Halo-nitrophilous scrubs (Pegano-Salsoletea) / Mediterranean salt meadows (Juncetalia maritimi) / Mediterranean temporary ponds / Pseudo-steppe with grasses and annuals of the Thero-Brachypodietea /,Aster sorrentinii /
index.cfm?fuseaction=search.dspPage&n_proj_id=2634,"TARTANET - Tartanet, a network for the conservation of sea turtles in Italy",LIFE04 NAT/IT/000187,"http://www.tartanet.it/,",2004,IT,NGO-Foundation,Italia,Habitats ~ Marine / Species ~ Reptiles /,coastal area / endangered species / nature conservation /,Non applicable (i.e.species project) /,Caretta caretta /
index.cfm?fuseaction=search.dspPage&n_proj_id=2637,Corpo Forestale - Conservation actions in NATURA 2000 sites managed by the State Forest Service,LIFE04 NAT/IT/000190,"http://www3.corpoforestale.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1121,",2004,IT,National authority,Italia,Biodiversity issues ~ Invasive species / Habitats ~ Forests /,coastal area / forest management / management plan / mountainous area / nature reserve /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / &quot;Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)&quot; / &quot;Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)&quot; / &quot;Riparian mixed forests of Quercus robur, Ulmus laevis and Ulmus minor, Fraxinus excelsior or Fraxinus angustifolia, along the great rivers (Ulmenion minoris)&quot; / &quot;Species-rich Nardus grasslands, on silicious substrates in mountain areas (and submountain areas in Continental Europe)&quot; / (Sub-) Mediterranean pine forests with endemic black pines / Acidophilous Picea forests of the montane to alpine levels (Vaccinio-Piceetea) / Active raised bogs / Alpine and Boreal heaths / Apeninne beech forests with Taxus and Ilex / Apennine beech forests with Abies alba and beech forests with Abies nebrodensis / Asperulo-Fagetum beech forests / Bog woodland / Bushes with Pinus mugo and Rhododendron hirsutum (Mugo-Rhododendretum hirsuti) / Coastal lagoons / Constantly flowing Mediterranean rivers with Paspalo-Agrostidion species and hanging curtains of Salix and Populus alba / Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels / Juniperus communis formations on heaths or calcareous grasslands / Medio-European limestone beech forests of the Cephalanthero-Fagion / Mediterranean tall humid grasslands of the Molinio-Holoschoenion / Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea / Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites) / Transition mires and quaking bogs / Wooded dunes with Pinus pinea and/or Pinus pinaster /",Barbastella barbastellus / Bufo viridis / Canis lupus / Circaetus gallicus / Dendrocopos medius / Eptesicus serotinus / Hyla arborea / Lynx lynx / Milvus migrans / Milvus milvus / Myotis blythii / Myotis daubentonii / Myotis nattereri / Nyctalus leisleri / Pernis apivorus / Plecotus auritus / Rhinolophus ferrumequinum / Rhinolophus hipposideros / Salamandra atra / Tadarida teniotis / Tetrao tetrix tetrix / Triturus carnifex / Ursus arctos /
index.cfm?fuseaction=search.dspPage&n_proj_id=2644,TUCAP - Conservation of Apennine beech forests with Abies alba SIC Pigelleto - M. Amiata,LIFE04 NAT/IT/000191,"http://www.lifepigelleto.it/,",2004,IT,Local authority,Italia,Habitats ~ Forests /,forest ecosystem / land purchase / mountainous area / nature conservation /,"&quot;Tilio-Acerion forests of slopes, screes and ravines&quot; / Apeninne beech forests with Taxus and Ilex / Apennine beech forests with Abies alba and beech forests with Abies nebrodensis / Salix alba and Populus alba galleries /",Salamandrina terdigitata /
index.cfm?fuseaction=search.dspPage&n_proj_id=2598,MIRES - Implementation of mire habitat management plan for Latvia,LIFE04 NAT/LV/000196,"http://www.ldf.lv/pub/,",2004,LV,NGO-Foundation,Latvia Latvija,Habitats ~ Bogs and Mires /,conflicting use / drainage system / forest ecosystem / forest management / forestry / freshwater ecosystem / land restoration / landscape conservation policy / local authority / public awareness campaign / renaturation / restoration measure / site rehabilitation / water resources management / wetlands ecosystem /,"&quot;Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)&quot; / Active raised bogs / Alkaline fens / Bog woodland / Degraded raised bogs still capable of natural regeneration / Depressions on peat substrates of the Rhynchosporion / Fennoscandian mineral-rich springs and springfens / Medio-European subalpine beech woods with Acer and Rumex arifolius / Natural dystrophic lakes and ponds / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation / Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea / Transition mires and quaking bogs / Western Taïga /",None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2599,Meadows - Restoration of Latvian floodplains for EU priority species and habitats,LIFE04 NAT/LV/000198,"http://www.ldf.lv/pub/?doc_id=28143,",2004,LV,NGO-Foundation,Latvia Latvija,Habitats ~ Grasslands / Species ~ Birds /,drainage system / environmental impact of agriculture / environmental training / environmentally friendly product / forest ecosystem / grassland ecosystem / informal negotiation / information network / information service / information system / landscape conservation policy / management contract / management plan / public awareness campaign / restoration measure / rural development / site rehabilitation / social participation / sustainable development /,"&quot;Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)&quot; / &quot;Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)&quot; / &quot;Species-rich Nardus grasslands, on silicious substrates in mountain areas (and submountain areas in Continental Europe)&quot; / Boreal Baltic coastal meadows / Fennoscandian lowland species-rich dry to mesic grasslands / Fennoscandian wooded meadows / Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels / Northern boreal alluvial meadows / Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites) /",Aquila clanga / Aquila pomarina / Crex crex / Gallinago media / Osmoderma eremita /
index.cfm?fuseaction=search.dspPage&n_proj_id=2600,"PHS in NPR - Protection of habitats and species in Nature Park ""Razna""",LIFE04 NAT/LV/000199,"http://razna.dau.lv/,",2004,LV,University,Latvia Latvija,Habitats ~ Freshwater /,aquatic ecosystem / cartography / conflicting use / decision making support / development planning / ecological assessment / environmental impact of recreation / environmental impact of tourism / environmentally responsible behaviour / fishing industry / freshwater ecosystem / informal negotiation / information system / integrated management / lake / land use planning / landscape conservation policy / management plan / policy integration / public awareness campaign / recreational area / restoration measure / rural development / site rehabilitation / social participation / sustainable development / touristic zone / wetlands ecosystem /,Hard oligo-mesotrophic waters with benthic vegetation of Chara spp. / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation /,Bombina bombina /
index.cfm?fuseaction=search.dspPage&n_proj_id=2612,AMBITION - Amphibian Biotope Improvement in the Netherlands,LIFE04 NAT/NL/000201,"http://www.staatsbosbeheer.nl/Actueel/Nieuws/Archief/LIFE-Ambition%20project%20succesvol%20afgerond.aspx,",2004,NL,National authority,Nederland,Species ~ Amphibians /,conservation of genetic resources / environmental impact of agriculture / information network / integrated management / land restoration / management plan / monitoring / population dynamics / public awareness campaign / public-private partnership / renaturation / restoration measure / wildlife sanctuary /,,Alytes obstetricans / Bombina variegata / Hyla arborea / Pelobates fuscus / Triturus cristatus /
index.cfm?fuseaction=search.dspPage&n_proj_id=2613,"10GEMETEN - Tiengemeten, restoration of freshwater tidal area in the Haringvliet estuary, the Netherlands",LIFE04 NAT/NL/000202,"http://www.tiengemeten.deltanatuur.nl,",2004,NL,National authority,Nederland,Habitats ~ Freshwater / Species ~ Birds /,coastal management / ecotourism / environmental impact of recreation / forest ecosystem / introduction of animal species / island ecosystem / land restoration / landscape conservation policy / periurban space / recreational area / reforestation / renaturation / restoration measure / river management / site rehabilitation / tourist facility / touristic zone / wetlands ecosystem / wildlife sanctuary /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / &quot;Lowland hay meadows (Alopecurus pratensis, Sanguisorba officinalis)&quot; / Estuaries / Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation / Rivers with muddy banks with Chenopodion rubri p.p. and Bidention p.p. vegetation /",None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2614,Woelmuis Friesland - Habitat improvement for Microtus oeconomus in Alde Feanen,LIFE04 NAT/NL/000203,"http://www.dealdefeanen.nl/,",2004,NL,NGO-Foundation,Nederland,Species ~ Mammals /,conservation of genetic resources / drainage system / ecological assessment / environmental education / land restoration / population dynamics / public awareness campaign / renaturation / restoration measure / risk management / site rehabilitation / water resources management / wetlands ecosystem / wildlife sanctuary /,Calcareous fens with Cladium mariscus and species of the Caricion davallianae / Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation /,Microtus oeconomus arenicola /
index.cfm?fuseaction=search.dspPage&n_proj_id=2611,Bargerveen - From degraded to active raised bogs pSCI Bargerveen,LIFE04 NAT/NL/000206,,2004,NL,National authority,Nederland,Habitats ~ Bogs and Mires /,drainage system / ecological assessment / ecotourism / environmental education / flood protection / integrated management / land restoration / landscape conservation policy / public awareness campaign / renaturation / restoration measure / rural development / site rehabilitation / sustainable development / tourist facility / touristic zone / water monitoring / water resources management / wetlands ecosystem /,"&quot;Species-rich Nardus grasslands, on silicious substrates in mountain areas (and submountain areas in Continental Europe)&quot; / Active raised bogs / Degraded raised bogs still capable of natural regeneration / Depressions on peat substrates of the Rhynchosporion / European dry heaths / Northern Atlantic wet heaths with Erica tetralix /",None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2605,Cons. Costa W - Species and habitats conservation in Portuguese Western Coast,LIFE04 NAT/P/000212,"http://www.icn.pt/LIFE04NATPT000212/index.htm,",2004,PT,National authority,Portugal,Habitats ~ Coastal /,coastal area / nature conservation / protected area / restoration measure /,Cisto-Lavenduletalia dune sclerophyllous scrubs / Coastal dunes with Juniperus spp. / Fixed coastal dunes with herbaceous vegetation (&quot;grey dunes&quot;) / Malcolmietalia dune grasslands /,Asplenium hemionitis / Herniaria maritima / Jonopsidium acaule / Verbascum litigiosum /
index.cfm?fuseaction=search.dspPage&n_proj_id=2606,IBAMarinha - Important bird areas for seabirds in Portugal,LIFE04 NAT/P/000213,"http://lifeibasmarinhas.spea.pt/,",2004,PT,NGO-Foundation,Portugal,Habitats ~ Marine / Species ~ Birds /,marine ecosystem / monitoring / survey /,Non applicable (i.e.species project) /,Bulweria bulwerii / Calonectris diomedea / Oceanodroma castro / Pterodroma feae / Puffinus assimilis / Sterna dougallii /
index.cfm?fuseaction=search.dspPage&n_proj_id=2602,NORTENATUR - Management and conservation of the sites of S. Mamede and Nisa/Laje de Prata,LIFE04 NAT/P/000214,"http://www.nortenatur.cimaa.pt/,",2004,PT,Local authority,Portugal,Habitats ~ Forests /,fire protection / forecast / forest fire / grassland ecosystem / land purchase / management plan / protected area / soil erosion /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / Arborescent matorral with Juniperus spp. / Constantly flowing Mediterranean rivers with Paspalo-Agrostidion species and hanging curtains of Salix and Populus alba / Dehesas with evergreen Quercus spp. / European dry heaths / Galicio-Portuguese oak woods with Quercus robur and Quercus pyrenaica / Intermittently flowing Mediterranean rivers of the Paspalo-Agrostidion / Mediterranean tall humid grasslands of the Molinio-Holoschoenion / Mediterranean temporary ponds / Pseudo-steppe with grasses and annuals of the Thero-Brachypodietea / Quercus ilex and Quercus rotundifolia forests / Quercus suber forests / Salix alba and Populus alba galleries / Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites) / Temperate Atlantic wet heaths with Erica ciliaris and Erica tetralix / Thermophilous Fraxinus angustifolia woods / Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation /",None or non applicable /
index.cfm?fuseaction=search.dspPage&n_proj_id=2601,"PLBALTBOGS - Conservation of baltic raised bogs in Pomerania, Poland",LIFE04 NAT/PL/000208,"http://kp.org.pl/plbaltbogs/,",2004,PL,NGO-Foundation,Poland Polska,Habitats ~ Bogs and Mires /,draining / ecological assessment / environmental awareness / management plan / nature reserve / protected area / restoration measure / water resources management /,"&quot;Alluvial forests with Alnus glutinosa and Fraxinus excelsior (Alno-Padion, Alnion incanae, Salicion albae)&quot; / Active raised bogs / Bog woodland / Degraded raised bogs still capable of natural regeneration / Depressions on peat substrates of the Rhynchosporion / European dry heaths / Luzulo-Fagetum beech forests / Natural dystrophic lakes and ponds / Northern Atlantic wet heaths with Erica tetralix / Transition mires and quaking bogs /",None or non applicable /
