"NHS Hospital and Community Health Services (HCHS): HCHS Doctors by ethnicity, in NHS Trusts excluding ambulance trusts, as at 31 December 2009 to 31 December 2014, and 31 December 2016, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,As at 31 December 2016,,,,,,,,,,,As at 31 December 2014,,,,,,,,,,,As at 31 December 2013,,,,,,,,,,,As at 31 December 2012,,,,,,,,,,,As at 31 December 2011,,,,,,,,,,,As at 31 December 2010,,,,,,,,,,,As at 31 December 2009,,,,,,,,,
,Bassetlaw PCT,5ET,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,,8,-,-,-,-,-,-,-,-,-,,10,-,-,-,-,-,-,-,-,1,,13,-,-,-,-,-,-,-,-,1
,Bradford and Airedale Teaching PCT,5NY,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,40,-,-,-,-,-,-,-,1,-,,49,-,-,-,-,-,-,-,1,-,,99,1,19,1,-,-,73,-,2,3,,88,1,14,1,1,-,68,-,3,-
,Bradford District Care NHS Foundation Trust,TAD,94,1,33,1,1,1,40,-,17,-,,102,3,41,-,1,3,50,-,4,-,,107,2,47,-,-,1,51,-,6,-,,89,2,35,-,-,1,39,-,12,-,,86,1,27,-,-,1,40,-,17,-,,84,1,28,-,1,1,46,-,7,-,,78,-,25,2,-,1,32,-,18,-
,Bradford Teaching Hospitals NHS Foundation Trust,RAE,687,12,180,21,14,7,404,-,49,-,,680,12,184,15,11,8,415,-,35,-,,675,19,173,16,15,8,403,-,41,-,,654,12,167,14,7,6,401,-,47,-,,642,11,173,14,10,10,382,-,42,-,,604,12,162,22,7,8,342,-,49,2,,581,13,145,10,11,7,321,2,70,2
,Calderdale and Huddersfield NHS Foundation Trust,RWY,540,34,202,18,15,11,238,-,22,-,,541,29,186,15,10,14,264,-,19,4,,549,27,204,20,8,17,252,-,20,1,,534,28,182,16,8,17,252,-,31,-,,531,26,189,16,5,12,245,-,8,30,,495,19,182,23,12,13,227,-,15,4,,501,22,187,23,9,13,228,-,14,5
,Calderdale PCT,5J6,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,10,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,-,-
,Doncaster PCT,5N5,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,1,-,,6,-,-,-,-,-,-,-,1,-,,18,-,-,-,-,-,-,-,3,-,,20,-,-,-,-,-,-,-,3,-
,East Riding of Yorkshire PCT,5NW,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,-,2,,7,-,-,-,-,-,-,-,-,-,,10,-,-,-,-,-,-,-,2,-,,12,-,-,-,-,-,-,-,2,-
,Harrogate and District NHS Foundation Trust,RCD,388,12,61,6,3,5,262,-,38,1,,382,6,76,3,3,10,249,-,33,2,,387,7,64,8,2,5,263,-,37,1,,392,8,67,5,3,4,254,-,51,-,,397,13,65,5,5,5,277,-,27,-,,258,9,54,5,5,3,164,-,18,-,,253,9,54,1,4,4,155,-,25,1
,Hull and East Yorkshire Hospitals NHS Trust,RWA,981,43,330,67,30,32,453,-,20,6,,969,42,321,55,25,29,456,-,39,2,,951,43,337,48,28,29,434,-,31,1,,960,46,335,37,16,29,461,-,33,3,,927,40,345,40,21,26,424,-,28,3,,907,49,320,42,15,27,425,-,29,-,,831,41,293,34,19,18,399,-,27,-
,Hull Teaching PCT,5NX,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,16,-,-,-,-,-,-,-,2,-,,19,-,-,-,-,-,-,-,1,-,,24,-,-,-,-,-,-,-,2,-,,58,-,-,-,-,-,-,-,-,8
,Humber NHS Foundation Trust,RV9,68,-,20,1,-,3,26,-,3,15,,65,-,-,-,-,-,-,-,9,7,,67,-,12,-,-,-,28,-,1,26,,74,2,13,1,-,-,30,-,1,27,,79,2,15,2,-,1,33,-,1,25,,66,1,23,4,-,1,33,-,-,4,,66,-,20,3,-,2,32,-,-,9
,Kirklees PCT,5N2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,25,-,-,-,-,-,-,-,-,-,,27,-,-,-,-,-,-,-,-,1,,45,-,-,-,-,-,-,-,-,-,,49,-,-,-,-,-,-,-,-,-
,Leeds and York Partnership NHS Foundation Trust,RGD,166,3,49,8,3,2,100,-,1,-,,218,5,62,9,3,6,130,-,3,-,,209,5,60,6,2,5,127,-,4,-,,222,4,60,5,3,9,140,-,1,-,,213,6,58,6,2,1,121,-,18,1,,157,5,51,9,3,1,87,-,1,-,,166,6,58,9,2,2,88,-,1,-
,Leeds Community Healthcare NHS Trust,RY6,69,1,11,3,1,3,40,-,10,-,,78,1,12,1,-,2,47,-,15,-,,76,2,11,1,-,2,50,-,10,-,,76,3,11,1,-,2,47,-,11,1,,77,2,10,2,-,2,56,-,4,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Leeds PCT,5N1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,-,,81,1,13,2,-,2,57,-,5,1,,86,1,11,2,-,1,64,-,6,1
,Leeds Teaching Hospitals NHS Trust,RR8,"2,013",46,430,52,38,48,"1,289",1,89,20,,"1,941",36,435,42,47,49,"1,242",1,71,18,,"1,888",45,421,32,39,44,"1,206",-,84,17,,"1,921",52,435,31,44,40,"1,192",-,110,17,,"1,962",36,442,33,48,48,"1,207",-,139,9,,"1,989",45,471,29,33,43,"1,178",-,188,2,,"2,022",27,456,40,31,42,"1,204",41,156,25
,Mid Yorkshire Hospitals NHS Trust,RXF,706,22,226,24,15,21,391,-,2,5,,766,21,245,28,15,25,430,-,2,-,,761,24,243,29,14,28,423,-,-,-,,783,26,260,30,20,20,426,-,-,1,,781,33,270,26,11,26,408,-,6,1,,752,29,277,20,11,20,392,-,3,-,,700,26,251,18,10,20,370,-,4,1
,North East Lincolnshire Care Trust Plus,TAN,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,1,,1,-,-,-,-,-,-,-,-,-,,19,-,-,-,-,-,-,-,1,1,,19,-,-,-,-,-,-,-,2,-
,North Lincolnshire PCT,5EF,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,1,-,,5,-,-,-,-,-,-,-,1,-
,North Yorkshire and York PCT,5NV,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,44,-,-,-,-,-,-,-,4,-,,49,-,-,-,-,-,-,-,4,-,,264,4,24,1,-,1,198,-,35,1,,294,5,24,1,-,3,201,-,2,58
,Northern Lincolnshire and Goole NHS Foundation Trust,RJL,499,26,221,39,10,8,134,-,61,-,,513,31,237,39,10,5,151,-,40,-,,529,28,242,41,8,10,159,-,40,1,,532,29,250,40,15,14,153,-,30,1,,524,30,240,35,9,10,161,-,39,-,,524,32,239,46,8,10,154,-,33,2,,489,31,229,38,5,10,134,-,36,6
,Rotherham Doncaster and South Humber NHS Foundation Trust,RXE,69,1,23,1,-,2,33,-,7,2,,71,3,26,1,-,2,30,-,9,-,,79,2,28,-,-,3,42,-,4,-,,78,5,30,1,-,3,33,-,5,1,,77,4,30,-,-,3,37,-,3,-,,80,6,24,3,-,3,34,-,7,3,,81,6,26,2,-,3,34,-,8,2
,Rotherham NHS Foundation Trust,RFR,373,25,84,16,5,15,205,-,19,4,,376,25,94,19,7,12,205,-,11,3,,376,27,103,21,5,14,199,-,7,-,,377,23,109,16,5,12,196,-,10,6,,369,28,120,16,8,10,174,-,9,4,,331,27,95,13,5,13,166,-,10,2,,272,23,79,8,2,13,137,-,8,2
,Rotherham PCT,5H8,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,8,-,-,-,-,-,-,-,-,-,,8,-,-,-,-,-,-,-,-,-,,39,-,-,-,-,-,-,-,1,1,,53,-,-,-,-,-,-,-,1,3
,Scarborough and North East Yorkshire Health Care NHS Trust,RCC,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,246,16,51,11,2,2,158,-,4,2,,238,22,58,10,1,-,140,-,5,2,,227,19,57,7,1,2,136,-,3,2
,Sheffield Children's NHS Foundation Trust,RCU,330,6,48,11,6,11,201,-,9,38,,291,9,49,8,3,8,194,-,5,15,,289,8,60,12,2,9,189,-,2,7,,273,10,54,9,2,8,185,-,3,2,,258,6,54,10,1,10,171,-,2,4,,251,4,61,9,2,7,165,-,2,1,,207,8,46,7,1,3,137,-,3,2
,Sheffield Health and Social Care NHS Foundation Trust,TAH,155,1,34,6,2,1,92,-,13,6,,168,2,45,11,1,1,95,-,9,4,,177,-,57,16,1,2,91,-,6,4,,169,1,52,11,-,2,87,-,8,8,,171,2,58,10,-,3,87,-,6,5,,150,2,62,6,-,2,71,-,4,3,,151,3,54,8,-,3,76,-,4,3
,Sheffield PCT,5N4,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,46,-,-,-,-,-,-,-,-,-,,58,-,-,-,-,-,-,-,-,-
,Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,"1,466",46,284,42,42,48,971,-,25,8,,"1,450",51,278,33,36,41,979,-,29,3,,"1,432",51,296,36,32,34,955,-,25,3,,"1,395",50,288,37,33,35,923,-,29,-,,"1,390",47,289,40,25,31,916,-,42,-,,"1,364",40,300,32,25,32,879,-,56,-,,"1,618",55,357,38,32,36,"1,012",-,84,4
,South West Yorkshire Partnership NHS Foundation Trust,RXG,164,8,88,-,1,4,62,-,1,-,,176,4,95,2,1,3,70,-,1,-,,187,6,99,3,2,3,74,-,-,-,,179,5,90,3,-,3,78,-,-,-,,169,5,80,4,-,4,75,-,-,1,,119,5,60,2,-,-,52,-,-,-,,121,8,55,2,-,-,56,-,-,-
,Wakefield District PCT,5N3,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,-,-,-,,17,-,-,-,-,-,-,-,-,1,,52,-,-,-,-,-,-,-,-,1,,50,-,-,-,-,-,-,-,-,1
,York Teaching Hospital NHS Foundation Trust,RCB,764,20,140,28,27,18,496,-,32,3,,727,21,137,29,22,14,491,-,9,4,,743,27,130,27,15,12,493,-,6,33,,725,26,140,27,20,12,480,-,18,2,,482,13,82,15,13,13,338,-,8,-,,433,10,70,16,14,12,304,-,6,1,,405,15,65,19,13,8,277,-,8,-
,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,574,37,215,31,14,13,224,-,30,10,,582,39,220,26,9,25,247,-,13,3,,577,50,201,29,10,18,246,-,23,-,,595,45,213,29,7,17,246,-,36,2,,597,41,219,28,13,12,244,-,27,13,,579,49,208,28,14,12,231,-,29,8,,478,39,158,25,9,7,220,-,17,3
YDF24,Health Education Wessex,,"5,407",131,878,118,95,128,"3,733",-,234,90,,"5,205",121,831,86,98,125,"3,616",1,274,53,,"5,008",118,755,97,88,113,"3,402",1,337,97,,"4,902",97,754,102,76,96,"3,349",3,288,137,,"4,869",119,774,89,75,93,"3,373",5,316,25,,"4,908",118,773,95,80,81,"3,303",10,424,24,,"4,896",105,805,99,66,76,"3,251",13,277,204
,Bournemouth and Poole Teaching PCT,5QN,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,-,,24,-,-,-,-,-,-,-,-,-,,23,-,-,-,-,-,-,-,-,-,,25,-,-,-,-,-,-,-,-,-
,Dorset County Hospital NHS Foundation Trust,RBD,308,5,40,5,9,8,202,-,37,2,,321,8,40,6,6,9,204,-,46,2,,309,9,31,10,8,5,196,-,41,9,,294,6,37,9,6,4,185,-,45,2,,297,12,38,5,3,5,194,-,37,3,,294,7,40,3,2,6,199,-,34,3,,299,7,35,3,4,2,199,-,43,6
,Dorset Healthcare University NHS Foundation Trust,RDY,141,1,19,3,2,3,107,-,4,2,,152,4,19,3,1,3,120,-,-,2,,157,3,18,2,2,4,128,-,-,-,,153,2,17,5,2,4,121,-,1,1,,87,1,10,1,1,3,71,-,-,-,,104,2,14,-,1,2,84,-,-,1,,97,1,17,-,2,1,75,-,-,1
,Dorset PCT,5QM,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,10,-,-,-,-,-,-,-,1,1,,63,-,-,-,-,-,-,-,2,2,,65,-,-,-,-,-,-,-,1,2,,68,2,5,1,1,1,54,-,1,3
,Hampshire Hospitals NHS Foundation Trust,RN5,729,21,107,12,7,11,462,-,71,38,,676,16,102,8,11,7,414,1,78,39,,662,14,97,15,13,15,353,1,89,65,,629,12,95,13,11,3,303,1,103,88,,302,9,65,8,4,3,211,-,2,-,,306,11,65,10,4,2,212,-,2,-,,307,11,80,6,5,4,199,-,2,-
,Hampshire PCT,5QC,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,2,-,,11,-,-,-,-,-,-,-,4,-,,90,2,3,-,1,-,52,1,31,-,,95,3,7,3,-,-,53,2,27,-
,Isle of Wight NHS PCT,5QT,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,,239,7,26,12,2,3,143,2,43,1,,237,5,26,9,2,6,147,7,30,5,,240,6,41,12,3,1,148,9,18,2
,Isle of Wight NHS Trust,R1F,217,7,45,7,1,6,133,-,18,-,,219,7,38,11,2,4,133,-,22,2,,216,6,37,11,2,3,123,-,32,2,,227,5,41,5,-,6,132,1,36,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Poole Hospital NHS Foundation Trust,RD3,468,14,71,9,8,6,329,-,22,9,,451,12,67,7,8,5,305,-,44,3,,446,10,63,8,6,7,281,-,70,1,,425,10,69,9,6,8,302,-,12,9,,425,9,74,9,6,8,308,-,10,1,,422,7,78,6,6,3,304,-,16,2,,433,8,80,6,7,6,313,-,12,1
,Portsmouth City Teaching PCT,5FE,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,1,,3,-,-,-,-,-,-,-,-,-,,16,-,-,-,-,-,-,-,2,-,,84,1,17,4,-,1,57,-,4,-
,Portsmouth Hospitals NHS Trust,RHU,916,16,174,25,21,24,628,-,26,2,,857,12,146,12,21,24,620,-,22,-,,806,15,134,12,18,19,593,-,15,-,,772,11,120,17,17,15,574,-,18,-,,756,17,118,15,18,20,551,-,17,-,,773,20,120,17,26,19,550,-,20,1,,783,16,143,20,15,21,536,-,30,2
,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,471,19,72,4,5,10,311,-,17,33,,463,11,81,5,2,8,340,-,12,4,,447,14,61,6,4,11,326,-,11,14,,442,9,70,5,6,13,314,-,8,17,,454,10,75,6,6,5,337,-,9,6,,456,12,74,5,6,9,338,-,6,6,,443,14,73,9,3,8,326,-,6,4
,Salisbury NHS Foundation Trust,RNZ,352,2,45,7,2,6,276,-,13,1,,339,5,40,2,1,6,264,-,20,1,,331,3,46,1,2,8,258,-,13,-,,325,-,36,1,3,7,261,-,17,-,,329,2,52,2,3,5,251,-,14,-,,330,2,51,4,2,3,249,-,19,-,,334,3,49,2,3,2,247,-,28,-
,Solent NHS Trust,R1C,152,4,31,4,-,4,103,-,5,1,,196,7,38,3,1,5,137,-,5,-,,199,9,32,4,2,4,140,-,7,1,,182,6,41,3,1,4,127,-,-,-,,26,-,-,-,-,-,-,-,-,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Southampton City PCT,5L1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,8,-,-,-,-,-,-,-,1,1,,154,8,33,2,2,2,106,-,1,-,,169,7,34,2,3,2,119,-,1,1,,107,2,20,1,4,2,76,-,2,-
,Southern Health NHS Foundation Trust,RW1,244,7,50,10,2,5,165,-,1,4,,261,8,50,12,8,4,165,-,13,1,,265,8,37,9,3,3,153,-,47,5,,289,7,39,11,3,5,172,1,34,17,,290,7,42,8,2,8,176,2,33,12,,223,4,45,8,2,5,130,1,27,1,,231,2,37,3,2,5,138,1,40,3
,University Hospital Southampton NHS Foundation Trust,RHM,"1,448",35,232,32,39,45,"1,042",-,20,3,,"1,300",31,216,17,39,50,934,-,13,-,,"1,201",27,204,19,29,34,873,-,13,2,,"1,157",29,190,24,22,27,852,-,11,2,,"1,116",33,200,14,22,27,805,-,14,1,,"1,114",37,204,28,22,23,782,-,18,-,,"1,068",28,192,27,16,22,767,-,16,-
,Winchester and Eastleigh Healthcare NHS Trust,RN1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,317,4,31,6,5,2,134,1,132,2,,323,3,17,2,2,-,75,1,218,5,,316,3,11,2,1,-,62,1,50,186
YDF25,Health Education Thames Valley,,"3,874",136,925,95,82,94,"2,093",-,403,46,,"3,662",115,815,90,76,81,"2,088",-,395,2,,"4,045",126,911,102,85,72,"2,147",-,491,111,,"4,039",129,895,106,85,66,"2,191",-,447,120,,"3,994",157,849,96,76,62,"2,187",-,391,176,,"3,932",197,795,107,62,66,"2,123",-,482,100,,"3,850",193,795,91,71,56,"2,055",-,432,157
,Berkshire East PCT,5QG,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,-,,46,-,-,-,-,-,-,-,10,-,,47,-,-,-,-,-,-,-,4,1,,44,-,-,-,-,-,-,-,-,2
,Berkshire Healthcare NHS Foundation Trust,RWX,192,11,73,4,-,2,79,-,23,-,,192,10,57,4,-,1,81,-,39,-,,185,8,49,5,-,2,77,-,44,-,,181,8,58,6,-,1,79,-,29,-,,121,6,39,6,1,2,64,-,3,-,,114,8,43,7,-,1,55,-,-,-,,112,6,38,4,1,1,59,-,2,1
,Berkshire West PCT,5QF,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,8,-,-,-,-,-,-,-,-,1,,27,-,-,-,-,-,-,-,2,-,,33,-,-,-,-,-,-,-,2,-,,35,-,-,-,-,-,-,-,1,1
,Buckinghamshire Healthcare NHS Trust,RXQ,658,27,215,24,20,26,317,-,29,-,,614,19,185,20,10,19,339,-,22,-,,615,15,162,17,13,14,363,-,28,3,,617,16,172,21,20,13,350,-,25,-,,622,17,171,22,18,9,346,-,37,2,,637,26,152,18,19,7,327,-,86,2,,609,24,176,16,21,8,338,-,19,7
,Buckinghamshire PCT,5QD,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,-,-,,20,-,-,-,-,-,-,-,2,1
,Heatherwood and Wexham Park Hospitals NHS Foundation Trust,RD7,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,487,20,177,17,9,8,211,-,17,28,,457,21,152,13,6,5,207,-,19,34,,433,20,125,10,6,5,180,-,9,78,,422,18,120,12,5,3,178,-,7,79,,422,17,118,12,7,2,176,-,3,87
,Milton Keynes PCT,5CQ,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,56,-,-,-,-,-,-,-,2,-,,81,4,26,6,-,1,40,-,4,-,,90,3,27,8,-,1,46,-,5,-,,78,4,27,9,-,1,32,-,5,-
,Milton Keynes University Hospital NHS Foundation Trust,RD8,394,14,160,28,4,8,148,-,30,2,,361,16,133,18,6,8,116,-,64,-,,341,9,98,17,3,1,71,-,75,67,,324,12,106,14,3,5,86,-,64,34,,310,8,110,17,5,5,87,-,25,53,,308,16,105,20,5,9,102,-,48,3,,304,17,101,16,5,6,87,-,32,40
,Nuffield Orthopaedic Centre NHS Trust,RBF,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,94,2,6,4,1,-,79,-,-,2,,91,1,11,1,1,1,72,-,-,4
,Oxford Health NHS Foundation Trust,RNU,256,5,50,4,3,7,168,-,6,13,,245,6,45,6,3,7,171,-,7,-,,256,5,50,5,7,6,178,-,4,1,,251,5,41,5,3,5,187,-,5,-,,250,3,45,6,5,7,177,-,5,2,,200,4,30,6,1,8,144,-,7,-,,181,3,31,4,1,6,130,-,6,-
,Oxford University Hospitals NHS Foundation Trust,RTH,"1,685",56,279,17,39,39,"1,028",-,197,30,,"1,633",48,281,28,44,32,"1,032",-,167,1,,"1,565",53,254,29,46,28,930,-,223,2,,"1,492",46,223,29,37,21,920,-,168,48,,"1,462",78,212,19,30,20,925,-,169,9,,"1,334",99,179,22,22,26,788,-,193,5,,"1,320",104,175,19,28,22,768,-,196,8
,Oxfordshire Learning Disability NHS Trust,RHX,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,28,-,-,-,-,-,-,-,10,3,,27,-,-,-,-,-,-,-,12,1,,28,-,-,-,-,-,-,-,10,2
,Oxfordshire PCT,5QE,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,55,-,-,-,-,-,-,-,4,4,,44,-,-,-,-,-,-,-,3,4,,66,2,17,-,-,-,46,-,1,-,,68,2,15,-,-,-,48,-,2,1
,Royal Berkshire NHS Foundation Trust,RHW,699,23,151,18,16,12,359,-,119,1,,624,16,116,14,13,14,354,-,96,1,,609,16,124,12,7,13,327,-,100,10,,603,16,107,11,16,13,308,-,131,1,,583,17,89,7,11,12,304,-,115,28,,568,17,92,8,9,10,306,-,117,9,,557,13,84,7,7,8,276,-,154,8
YDF26,Health Education North West London,,"6,025",291,"1,437",177,181,173,"3,117",12,284,353,,"5,952",263,"1,410",167,170,163,"3,098",15,216,450,,"5,820",272,"1,528",182,195,178,"3,089",15,206,155,,"5,653",288,"1,474",187,186,161,"2,928",20,237,172,,"5,458",271,"1,436",171,175,150,"2,824",23,269,139,,"5,457",284,"1,427",164,161,144,"2,879",20,289,89,,"5,377",325,"1,410",173,149,126,"2,772",25,214,183
,Brent Teaching PCT,5K5,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,2,,4,-,-,-,-,-,-,-,-,2,,28,-,-,-,-,-,-,-,-,3,,30,-,-,-,-,-,-,-,-,1
,Central and North West London NHS Foundation Trust,RV3,457,15,131,27,6,14,210,-,36,18,,487,19,137,31,9,11,237,-,15,28,,507,27,152,32,7,11,256,-,16,6,,442,22,117,27,7,8,225,-,14,22,,317,17,94,18,4,4,170,-,8,2,,322,20,99,19,3,6,170,-,4,1,,323,26,93,14,4,9,171,-,3,3
,Central London Community Healthcare NHS Trust,RYX,70,4,18,1,5,-,33,-,4,5,,63,-,-,-,-,-,-,-,5,2,,69,3,16,3,5,-,34,-,7,1,,70,4,18,2,6,-,32,-,6,2,,39,-,-,-,-,-,-,-,1,2,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Chelsea and Westminster Hospital NHS Foundation Trust,RQM,"1,062",50,229,33,27,29,631,-,26,37,,663,22,106,18,18,28,433,-,14,24,,653,22,119,17,21,26,423,-,10,15,,618,28,120,21,14,25,394,-,13,3,,594,28,109,15,20,27,381,-,13,1,,583,26,121,17,19,20,354,-,22,4,,583,24,126,16,15,15,374,-,7,6
,Ealing Hospital NHS Trust,RC3,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,369,22,125,13,12,8,144,12,14,19,,371,23,102,17,9,13,153,16,11,27,,370,23,126,17,14,8,146,18,11,7,,315,18,95,11,8,3,114,18,22,26,,301,29,84,16,10,6,126,20,8,2
,Ealing PCT,5HX,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,1,-,,4,-,-,-,-,-,-,-,-,-,,32,-,-,-,-,-,-,-,1,2,,34,-,-,-,-,-,-,-,2,2
,Hammersmith and Fulham PCT,5H1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,-,,6,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,8,-,-,-,-,-,-,-,-,1
,Harrow PCT,5K6,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,-,-
,Hillingdon Hospitals NHS Foundation Trust,RAS,451,23,180,19,25,12,185,-,2,5,,402,15,146,17,19,10,187,-,4,4,,394,21,154,13,13,7,173,-,7,6,,388,25,148,15,15,9,165,-,7,4,,379,13,149,16,22,8,160,-,8,3,,372,14,140,11,16,10,164,-,11,6,,359,10,153,13,7,8,152,-,10,6
,Hillingdon PCT,5AT,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,22,-,-,-,-,-,-,-,-,-,,33,-,-,-,-,-,-,-,2,2,,32,-,-,-,-,-,-,-,8,2
