,project_id,coordinator,total_budget,eu_contribution,background
150,1300,Econo Tek Recycling Ltd,2626866.39,613771.08,"It is the objective of the project to recycle waste foundry sand which is currently discarded to landfill, with the further intention of excavating previously discarded foundry sand and restoring it for re-use by the foundry industry and other end users. It is anticipated that the project will recycle for re-use approx. 90% of all waste sand processed and will reduce by this same amount, the quantity being discarded to landfill. Additional benefits are derived from the reduction in excavating virgin sand for use by the foundry industry.Despite claims by the foundry industry that they currently recycle a high degree of process sands, there is still in excess of 9,000,000 tons being discarded to landfill each year throughout Europe. Some 15% of this total is generated in the UK alone.
In addition to recycling all types of sand currently in use by the foundries, the project displays the ability to remove previously discarded sand from landfill and restore '.
Therefore, the objectives are threefold :
Recycle all types of sand arising from the foundry industry.
Recycle sand from existing landfills to allow restoration for the benefit of the local community.
Reverse the current trend of new sand excavation from virgin land.
The project intention is pre-industrial to demonstrate the methodology attached to proving an effective laundering system for foundries and other sand users in a selected radius by utilising innovative applications of cryogenic and low thermal technology. 
The methodology has been developed through a working consortium between Econotek, a specialist recycling company (SME), Biwater  (Clay Cross), a major area foundry, Air Products, Ashland Foundry Products and the information provision by Simpson Technologies. By maximising the knowledge of all participating companies, a process system involving multi-stage attrition, low temperature rotary thermal and cryogenic technique has been developed which is capable of absolute cleansing of contaminated sands at approx. 16 tons per hour with a sand recovery rate of some 90%.
With restoration facility combined with high tonnage retrieved then the 'multiple foundry laundering system' will  succeed where other facilities have failed. The surplus sand generated by restoring the existing landfill operations will become available to alternative users in the asphalt or cement industries which will assist in reversing the levels of new sand supply.
The reproduction level is high and can be maximised by selective siting throughout Europe."
151,1166,SATRA Technology Centre,840597.24,420298.62,"The term Volatile Organic Compound (VOC) describes a carbon containing substance that readily evaporates or is emitted into the atmosphere. VOC's can be found in both domestic and industrial applications, including transport, household chemicals, paints and adhesives. The emission of VOC's into the atmosphere has been found to contribute to a number of environmental problems, including acid rain formation, ozone layer depletion, the Greenhouse Effect, and ozone production leading to smog and haze.

The furniture industry has for over 50 years made widespread use of VOC's or organic solvents. Lacquers, varnishes, adhesives and cleaners use solvents, with nearly 350,000 tonnes ending up in the atmosphere. A forthcoming EC Directive will require substantial reductions in emissions from adhesives and coating processes. The industry is able to use solvent free alternatives for some processes. However, solvents are widely used by the industry for other processes, especially surface coating of wood and metal, and in adhesion of foam materials."
152,1301,ECT Recycling Ltd,768170.79,206293.45,"Fluorescent lamps contain mercury, which is listed in the European Union's 'Black List' of persistent, toxic, or bio-accumulative substances in the environment. Although the mercury content of new lamps is steadily being reduced, it cannot be removed altogether under current lamp manufacture technology, and the continuous accumulation of mercury at landfill sites presents a growing hazard. Many organisations replace their fluorescent lamps in bulk prior to the end of service life, which results in the disposal of operational lamps. Preliminary research has confirmed that these lamps can be re-used, rather than contributing towards the unnecessary depletion of resources needed to make new lamps. By providing a sustainable economic framework for the responsible disposal of dead lamps, the project should engage organisations for whom the safe disposal of such waste would normally be economically unfeasible. Significant economic and education benefits should be available to those schools and community groups that participate in the project. The latter is particularly relevant in the context of the importance of environmental education to the UK's national school curricula. By offering an environmentally-responsible 'cradle to grave' management policy for the use of fluorescent lamps, the hope is that the scheme can be reproduced throughout the UK and Europe."
153,1167,Reusable Packaging Internaltional Ltd.,760620.42,380310.21,"Expanded Polystyrene/Expanded Polypropylene (EPS/EPP) are derived from oil. Although not biodegradable, both can be recycled. EPS/EPP packaging materials are robust, lightweight and adaptable for use with a wide range of goods, often offering significant advantages over other forms of packaging, including those derived from renewable sources.  Taking account of its many useful packaging applications, the most environmentally sound practice is to promote the maximum re-use of EPS/EPP followed by recycling. 

Directive 94/62/EC lays down requirements for management of packaging waste. It specifies that by 30 June 2001, at least 50% of packaging waste should be recovered and 25% recycled. 

This project was established to assess the technical and economic viability of greater re-use of EPS/EPP packaging by conducting a pilot study in the consumer electrical goods sector. It was proposed that the study would establish a viable scheme based upon the development and use of high quality, preferably standardised, EPS/EPP packaging materials. Working internationally in partnership with industry, the project also aimed to devise a practical model recovery scheme, enabling manufacturers and retailers to re-use a high proportion of their packaging materials and so reduce their overall packaging costs in the medium term. Reusable Packaging International ltd. would manage the project. 

If it proved successful, the company planned to facilitate the wider implementation of an independent, accredited, self-financing scheme for the manufacture and use of reusable EPS/EPP packaging materials."
154,1168,London Borough of Ealing,1859948.99,733559.94,"The Sustainable Access to Leisure Sites and Amenities (SALSA) project, promoted by the Londong Borough of Ealing, aimed to work with children and parents to reduce the use of cars for transporting children over short distances to leisure facilities, and to increase the proportion of such journeys which are carried out by cycling or walking.

SALSA built upon work within the UK and other Member States of developing safe routes to school, but it was the first attempt to work with other aspects of childrens lives, recognising that journeys to leisure amenities account for an ever increasing share of car usage, and hence air pollution in urban areas throughout Europe."
155,1169,Cleveland Potash Limited,4996933.32,2176947.52,"The project was implemented at CPL's Boulby Potash Mine in the Northeast Region of the UK. At the time of the inception of the project the mine discharged 8 million cubic metres of saline effluent containing cadmium and mercury into the North sea every year. The future sustainability of the Boulby mine, a major employer in the region, was dependent on the identification of alternative, cost effective waste disposal options that would significantly reduce existing environmental impacts. The metal containing faction of the waste is fine grained clay material, which is highly thixotropic with high water retention capabilities. These properties make it unsuitable for management by standard process waste handling and disposal technologies."
156,778,City of Newcastle Upon Tyne,1271067.09,624157.05,"The Eco-Management and Audit Scheme (EMAS) is a management tool designed to help businesses and municipal and city authorities monitor and improve their environmental performance, and integrate sustainable development aims into all policies and measures."
157,1170,Institute of Freshwater Ecology,1391338.55,686362.66,"Many water quality problems are now known to be influenced by extreme variations in the weather.  For example, problem ‘blooms’ of algae typically appear during warm, calm summers and high concentrations of sediment are deposited in rivers after periods of heavy rain.  Automatic recording instruments provide the ideal means of recording responses of aquatic systems to short-term changes in the weather.

Many of the physicochemical elements that support the classification of lakes in the Water Framework Directive will be able to be monitored automatically using systems like those designed in the project."
158,911,Scottish Natural Heritage,475838.08,237018.40,"The aim of the Moray Firth project was to develop and implement a programme of integrated coastal zone management that actively involved communities and brought together voluntary and statutory measures. The project piloted this approach at three levels: local residents, sub-areas and the regional level. The project area included the 800 kilometres of coastline from Duncansby Head to Fraserburgh and the adjacent territorial waters.

The project was delivered through the Moray Firth Partnership (MFP), a voluntary coalition made up of representatives from industry, the local authorities, conservation bodies, recreation and tourism groups, local residents and many others interested in the future well-being of the Firth. The MFP was formed in 1995 in response to The UK Biodiversity Action Plan. By the start of the LIFE project in 1998, it had already made substantial progress towards devising an agreed strategy and management guidelines for the Firth as a whole. Although results were relatively good, tensions emerged when trying to blend voluntary and statutory measures. In particular, it became clear that without strong support at grass roots level for an integrated approach, it would be inevitable that political pressures and sensitivities would limit the progress that could be made. The MFP therefore identified grass roots support for, and involvement in, the integrated management process as being a vital prerequisite for further achievements. With this in mind, a project was devised to re-define and re-orientate integrated coastal zone management for the Moray Firth to make it fundamentally a bottom-up process that would, in time, bring with it the necessary political support."
159,912,Monmouthshire County Council,905893.64,126840.12,"Traffic is the fastest growing source of carbon dioxide, which contributes to global warming, and is also the source of other pollutants that are thought to have a detrimental effect on health. In addition to air pollution and climate change, traffic also causes stress, road rage, demand for parking space, and health problems due to lack of exercise. The combined impacts of traffic makes a strong case for greener, more environmentally friendly types of transport.

The project sought to understand the processes and methodologies required to implement successful large scale green transport projects covering the town of Chepstow (approx. 9,000 inhabitants). The project aimed to encourage a modal shift to more sustainable forms of transport in an innovative way, embracing bottom-up, public participation and a holistic approach to planning and delivery."
160,1171,Aberdeenshire Council,699959.32,335983.72,"Housing is a central aspect of current lifestyles and aspirations within the EU, and has crucial implications for economic, social, environmental and transportation issues. Land-take from developments, the numerous impacts of the construction phase, and the ongoing consumption of energy and other resources during occupation are all important issues which arise from housing development. Attempts to quantify and/or reduce the negative impacts of housing have generally focused on single issues (e.g. energy consumption, water use etc), or on the overall impacts of individual buildings. Consequently, the benefits of a comprehensive, integrated approach to sustainable housing development have not yet been realised."
161,336,Scottish Natural Heritage,1005176.61,502588.30,"Scotland does not immediately conjure up images of vast tracts of native woodlands, yet it does harbour important proportions of a number of priority forest habitat types listed in the Habitats Directive. Two such habitats - bog woodland and residual alluvial forests - have become particularly rare in recent times.  This project took a comprehensive approach towards their conservation by targeting all three of the remaining bog woodland sites in Scotland and two of the three residual alluvial forest sites.
 
Despite the fact that these five sites are the best examples of these priority habitat types in Scotland, all have experienced interference with the hydrological systems upon which they depend. Bog woodland sites have been drained for agricultural and forestry use whilst land uses within their immediate water catchment have affected the quality of the water coming into the bog.  Residual alluvial forests have been more heavily affected by engineering works to prevent flooding. Also, water use and drainage upstream has altered the water quality and seasonal flooding patterns. On top of that, many areas have been cleared for arable farming and grazing or planted with commercial trees.

The project, through collaboration between public agencies and land owners, was to encourage the reinstatement of more natural hydrological systems at these sites. Appropriate land management was to be promoted on adjacent areas through the restructuring of surrounding plantation forests and the creation of buffer zones of native woodlands. Exotic shrubs were to be removed or controlled to allow the regeneration of natural communities. Grazing pressure was to be reduced by stock fencing. Management agreements with landowners would enable the reclamation of key demonstration floodplain sites for conservation."
162,337,Northumberland Wildlife Trust,465697.19,233228.44,"Located in Northern England, the Border mires pSCI is considered to be one of the most important remaining active blanket bogs in the UK, outside Scotland.  The project focused on 15 sub-sites altogether covering approximately 40% of the total pSCI (as it was in 1999). These are situated in and around the Kielder Forest which is the largest man made forest in Northern Europe. They are also home to five annex I bird species, such as golden plover Pluvialis apricaria, golden eagle Aquila chrysaetos, and perigrine falcon falco peregrinus which will benefit substantially from the improvements to the quality of the habitat. 

In the past, agricultural drainage and afforestation have encroached onto the blanket bogs and resulted in drying out and degradation of the habitat. However, one positive aspect of the proximity of the forest is that grazing animals have been excluded and burning has not been carried out for over 30 years so much so that the blanket mire has a naturalness that is almost unique in the UK.The project was run by a partnership of government and non-governmental bodies and most of the actions carried were non recurring. Thus, ditches were blocked to reinstate the integrity of the bogs' hydrological systems, trees were cut and removed on some 200ha to enlarge the blanket bog area and finally naturally regenerated trees were removed from open bog. Since the project was also be breaking new ground with mire rehabilitation on previously afforested areas, there was a lot of interest by both forestry and conservation organisations on the project's successes. Two workshops were organised to present the results of the project and to promote further networking both within the UK and in the rest of Europe.

EU-LIFE co-financing provided a vital initial investment for the long term conservation of this unique site. Once the trees are removed and the ditches blocked the natural processes of peat formation will take over and, in time, the blanket bogs will become self sustaining."
163,897,ARUN District Council,334307.51,159883.10,"Sea bathing is one of the most popular recreational activities in Europe, with millions of Europeans visiting thousands of beaches each year, from the Baltic coast to the Mediterranean. However, over the past two decades an increase in recreational water use has been coupled with a growing apprehension about the dangers of bathing in waters contaminated by domestic sewage discharges.

Contamination of coastal waters can take many forms, impacting on recreational areas as either diffuse or point source pollution, but it is of greatest concern when it results in the potentially health-threatening spread of infectious diseases. The issue of coastal pollution is high on the agenda of most European coastal authorities because of the economic importance of tourism and coastal recreation, whilst the full impact of coastal pollution on public health remains uncertain.

Although illness associated with seawater contact can be caused by viruses discharged with sewage, these pathogens are difficult and expensive to test for. Therefore it is common practice to test for other microorganisms, which are thought to indicate the presence of sewage, but are easier and cheaper to test for. 

This preparatory action will determine the relationship between enterovirus and coliphage populations and how Faecal streptococci, Escherichia coli and the total coliform group also interact with coliphage and enterovirus populations following sewage discharge to receiving waters. The work will allow more accurate predictive models for the dispersion of sewage discharges to be produced and enable better assessment of their impact on the public health of recreational water users. There were proposals to amend existing European standards on bathing water quality and it was hoped that this study would add to informed debate on what those standards should be."
164,1541,London Borough of Southwark,1026445.22,498966.43,"There is a recent focus on quality of life in urban areas, a problem is becoming increasingly important, as around 80% of today's population lives in an urban environment. To date, problems of inner-city deprivation have not been solved and, if anything, are becoming worse rather than better. This has been brought up at all levels, in an attempt to change both policy and practice relating the management of urban areas. 

To monitor change in urban areas, and to look at how quality of life was changing, indicators are being used at all levels. In the EU, the Expert Group on the Urban environment was re-launched and the first topic-oriented working group was to develop a set of Indicators for Local Sustainability aimed at encouraging local authorities to monitor and assess the performance of their policies in terms of quantitative and qualitative outcomes on the ground. In the UK, the national set of headline indicators aimed to focus public attention on what sustainable development meant and to monitor how changes were occurring throughout the country. At a more local level, indicators could be used to inform, raise awareness, encourage improvements and get people involved in sustainability processes. 

The London Borough of Southwark has growing prosperity in the north of the borough, established wealth in the residential area of Dulwich Village in the south and, in complete contrast, significant unemployment and disadvantage in the centre.  For example, the unemployment rate in Walworth and Peckham was 11.5%; almost double the then British average of 5.9%. Nearly 50% of families were single parent families and one in four households had an income of under £100 per week. The areas were also faced with significant problems due to relatively high levels of anti-social behaviour, traffic congestion, and air pollution. These areas are highly cosmopolitan with a rich diversity of communities ­ over two thirds of households are from a black or ethnic minority group. Walworth and Peckham are home to a significant number of new arrivals from Albania, Bosnia, Ethiopia, Eritrea, Ivory Coast, Kosovo, Nigeria, Poland, Sierra Leone, Slovakia, Somalia, Turkey, Uganda and Vietnam. 

The Walworth and Peckham areas were both the subject of major urban regeneration initiatives aimed at improving the quality of life of these areas. In Peckham, a seven year £250 million urban regeneration programme, the Peckham Partnership, was underway to give a new lease of life to the area's five housing estates and 10,000 people. The programme, one of the largest in Britain, adopted an integrated approach to urban regeneration and focused on community safety, education, health, leisure, employment and training as well as physical regeneration of the area.
  
The Aylesbury Estate in the centre of Walworth, home to 12,000 inhabitants, was the subject of urban regeneration activity focusing on education, employment, community safety and strengthening the community. Further funding under the British Government's ""New Deal for Communities"" would enable physical regeneration of the area, known as the ""Aylesbury Plus"", to begin in the near future."
165,1016,LONDON BOROUGH OF CAMDEN Camden Town Hall,2052605.52,937443.08,"Efficient and available accessible transport is essential to the quality of many vulnerable people. However, accessible transport in Camden, as elsewhere, was provided by a number of operators and vehicle fleets, which lead to poor vehicle utilisation, adverse environmental effects and a non-optimal service to the user in an area where the need is great.

PlusBus InterActive attempted to integrate transport, land use, social and environmental objectives. Effective integration of the operations of the various players involved was aimed at reducing duplication of vehicle use, better relate transport to land use and maximise the substitution of low and zero pollution vehicles initiated by the ASTI and ZEUS projects. 

Sustainability can only be maintained if the whole experience for the user and the provider, and the communiy at large, is acceptable and workable. PlusBus Interactive sought to test further advances in the use of telematics within the framework of integration between trip and land uses and transport provision; overcoming exclusion for people with mobility difficulties; and encouraging community development. The project aimed to be a practical demonstration of the Citizens Network concept and accords with LIFE programme objectives."
166,1017,Subterra Limited,963718.01,274545.58,"Groundwater is a major source of potable water in Europe. In England and Wales it accounts for around 30% of all drinking water supply and is also widely used for industrial, agricultural, domestic and other purposes.

Leaking sewers have long been suspected as an important source of groundwater contamination, particularly in urban areas. The pollution threat posed to groundwater by sewage and sewerage systems has been recognised for many years. Recently several causes of the deterioration of groundwater have been studied. A number of European studies have revealed (using close circuit television) the often very poor condition of the sewer pipework infrastructure. German research has indicated that some 10% to 15% of the 285,000 kms of public sewers and 600,000kms of private sewers in the former area of West Germany have exceeded their life expectancy. It has also been estimated that approximately 300 million m3 of wastewater seeps into the groundwater each year.

Replacement of existing defective sewer networks is expensive, particularly in urban areas. Over the past 30 years, cured-in-place pipe (CIPP) lining systems have been developed for the insitu repair of leaking, and structurally unsound buried sewer networks. These CIPP systems typically comprise a felt tube impregnated with a suitable resin that is inflated in an existing, defective sewer pipe and cured in place to form a pipe within a pipe, either at ambient temperature, or by using hot air, hot water, steam, or UV light.

It has however been recognised that the use of full length CIPP systems can be wasteful of resources, since in many cases the defect to be treated is localised within a individual sewer length. As a consequence, short, part-liner systems (usually referred to as patch liners or patches) have been developed. These can provide a higly cost-effective means of restoring the structural integrity of sewers and/or resolve infiltration and exfiltration.

However, key problems of the existing patch repair systems include:

- it is difficult to ensure consistent product quality on site under all likely environmental conditions
- significant risk of spillage of uncured resin materials on site, and consequently damage to the environment
- slow, expensive and inflexible process
- the patch materials have to be 'wetted-out' on site with the uncured resin which inter alia results in high costs of energy and risks of styrene emissions.

Most of the existing sewer patch repair systems rely on either ambient curing or heat curing of the resin, once the prepared patch is positioned over the defect. Both of these processes tend to be relatively slow, typically up to one hour. During this time the patch installation equipment must remain tied to the patch being installed and cannot be removed to the next repair site until the patch has cured sufficiently.

This project aimed to demonstrate a localised sewer patch repair system with UV-cured-in-place-patches systems, which would use ultra-violet to cure factory-prepared liners. The technology would be demonstrated in close cooperation with a Water Services Company."
167,1015,SATRA Technology Centre,831135.51,411861.14,"The European footwear industry produces in excess of 1000 million pairs of footwear each year, of which 70 percent has a leather upper material. It has been estimated that this process generates 100,000 tonnes of leather waste, most of which is disposed of by landfill or incineration. However, increasing legislation and environmental concern is resulting in these disposal options becoming more difficult and hence more expensive. The European Footwear industry is already under price pressure from South America and Asia and increasing costs due to waste disposal will hinder the ability of a company to compete on the world market.

An industry wide approach would help to identify viable means of recycling leather, particularly finished leather. This would benefit not only footwear manufacturers but also industries such as furniture and automobiles.

Efforts have already been made to recover useful materials from waste leather, such as chromium compounds by incineration and proteins by chemical digestion, or to use it as a filler in bricks and concrete, but these have not yet led to significant commercial processes.

This project therefore sought to recycle waste leather with minimum pretreatment to produce commercially viable novel materials that could be used in the industry which generated the original waste, or other industrial sectors using similar materials."
168,1014,The Highland Council (on behalf of the Moray firth partnership),643239.00,319338.51,"Partnership wishes to test the effectiveness of ICZM within a series of linked projects at different spatial scales, thus developing a tiered management structure. The Partnership is adopting an integrating role, providing a framework for localised ICZM projects, developing Firth-wide policy and management guidelines. One such local initiative has already published a draft management strategy including a wide range of recommendations and actions, offering an excellent opportunity to pilot the implementation of such proposals in practice. Also within the Moray Firth are 2 proposed Habitats Directive Special Areas of Conservation (SACs), creating an opportunity to pilot the effective integration of voluntary and statutory management arrangements which must be achieved if ICZM is to be successful.
The Partnership is a response to the UK Biodiversitu Action Plan objective to establish voluntary partnerships on the UK coast as a mechanism for implementing ICZM. Circumstances and statutory arrangements vary across the EU, and in practice the approach most usually taken so far has been increased cooperation at, primarily, a statutory level. The explicit recognition by the Partnership of the role of other non-statutory sectors, and the consequent focus on effectively engaging those sectors, at different scales of management is innovative in both UK and EU terms.
In this respect, the Moray Firth project could provide a novel contribution to the EU CZM demonstration programme."
169,1419,The Highland Council,1013999.57,492458.48,"The Highlands and Islands of Scotland is a peripheral rural area, with a dispersed population and a fragile economy. The environmental quality of the region, however, is high.  In areas such as this, attempts to increase economic activity are often impeded by a lack of experience in identifying sustainable development opportunities.  As a result, there is often a public and institutional perception that environmental protection inhibits economic development. Environmental protection is therefore often resisted, and economic development encouraged at any cost.  In the long term, the area’s primary asset – its environmental quality – can be damaged, and its value decline."
170,756,BIP Group Limited,604430.82,296275.34,"Reduce substantially high levels of VOC emissions from the Composite Resin producing processes using a novel absorption technology. The project will result in demonstrating the technique to be the most cost effective and technologically advanced abatement option with advantages of being both ecologically and operationally safe, and having the lowest nett environmental impact.

There is an obligation to secure a 30% reduction in volatile organic compounds (VOCs) emissions by 1999 because they are major precursors of ground level ozone. In common with many companies the proposer needs to address the problem for emissions of VOCs from its industrial processes. The company is developing an integrated approach to its environment strategy embracing a three pronged approach: limiting at source the release of pollutants, integration of energy requirements with the reduction of environmental emissions, abatement techniques involving end of pipe solutions and recycling wherever possible. In this context this project is proposed to demonstrate the use for a novel absorption process for reducing medium to high VOC emissions to air. The technology would be applicable to VOC mixtures consisting of Alkanes, Alkenes, Aliphatic and Aromatic Hydrocarbons. Halogenated Hydrocarbons, Aldehydes, Ketones, Alcohols, Amines and others. The system utilises the most advanced developments in absorption technology relating to VOC abatement. The VOC materials are absorbed into a Polyethylene Glycol based oil and then stripped with steam to recover the VOCs. The process is unique in that it has characteristics which enable flexibility of response to plant operating conditions and a turndown ration not available from other technologies. It is also anticipated that in some applications the stripped VOCs may be recycled. The principal anticipated results of the project can be summarised as a demonstration that the technology will achieve abatement of Composite Resins Plant vent streams.It is anticipated that the process will reduce the current emissions of 36-38 tonnes/year by 95% or more. Development of sufficient operational and performance data to ensure the technology can be economically and justifiably applied to a large number of industrial applications throughout Europe. Illustrations of the benefits by the dissemination of information."
171,1146,Isle of Wight Council,1235075.91,610124.17,"Experts recognise the widespread occurrence of slope instability throughout the world and it is reasonable to conclude that unless active measures are implemented in terms of landslide mitigation and hazard management, the costs arising from slope failures (both coastal and inland) are likely to escalate in the future, as a result of both climate change impacts and increasing development pressures.
Although the costs arising from coastal and inland instability problems are sometimes difficult to quantify, the economic and social effects clearly have a significant impact worldwide. Sustainable development requires accurate risk assessment and informed decision making, taking full account of past and present ground conditions."
172,1147,Broads Authority,1047116.69,491909.62,"Wet reedbeds and fens have declined dramatically in the EU in the last century, and the UK hosts a large proportion of the surviving habitats. The Broads include the largest example of these habitats in the UK. The majority form part of the Natura 2000 series.

Wetlands provide many important services to society and are at the same time ecologically sensitive systems. However, as a result of changes in agricultural practices these valuable wetland areas have become neglected and, through natural succession to woodland, there have been losses of biodiversity, landscape and recreational assets.

Since maintaining these environmental assets depends on continued wetland management, including regular removal of the standing crop, much attention has recently been directed towards the formulation and operation of sustainable management strategies for wetlands.

As well as government committments to maintain wet reedbeds and fens through national biodiversity action plans, there are many large-scale projects to restore and create new wetlands. The longterm success of these plans will depend on the existence of new commercial harvesting systems that take full account of environmental needs."
173,249,Hampshire County Council,7488389.67,3744911.76,"Originally created as a hunting forest by William the Conqueror in the 11th century, the 'New' Forest is an extensive site covering nearly 300 km². It is probably best known as an area of ancient woodland and swathes of 'open forest' grazed by roaming herds of New Forest ponies. Its EU nature conservation interest lies in its 13 habitat types (including the priority habitats bog woodland and alluvial forests) and 3 species of the Habitats Directive and the 5 Annex I Birds Directive species present.  Situated in the densely populated south of England, the New Forest is a magnet to visitors - estimated at 20 million annually. This popularity brings with it problems: recreational pressure causes erosion and disturbance. Afforestation with non-indigenous species leaves a legacy of conifer plantations that are out of keeping with the natural character of the area. Other invasive species like bracken and rhododendron threaten its integrity. 

A Strategy for the New Forest, which was published by the New Forest Committee in April 1996, recognised the European importance of the New Forest and identified a strategic framework for its conservation and enhancement. The LIFE project grew from this initiative.

A consortium of 10 organisations - from graziers and foresters to conservationists - put together an ambitious programme to undertake a wide range of habitat management and restoration measures designed to tackle the key threats to the New Forest. The main targets were to produce a management plan to cover the entire pSCI; to increase the land owned and managed for nature conservation purposes; and to restore 4000 ha of the pSCI habitats to favourable conservation status. Much of the habitat restoration work would involve clearance of rhododendron, removal of planted and invasive conifers, introducing traditional broadleaved woodland management (like pollarding), and repairing/controlling erosion. One of the more innovative elements of the project was the action to secure the long term viability of grazing animals in the New Forest. Since much of the nature conservation interest is bound up with traditional grazing practices - ponies, cattle and pigs - it is important that these should not decline. New Forest pony grazing is thought to be most at risk and project activities thus focused on stock improvement through incentive payments linked to competitions and stock management by pony owners."
174,251,"Caledonian Partnership, Highland Birchwoods Ltd",3406516.51,1703258.26,"Moss and lichen-rich old oak woodlands are an Annex I habitat type restricted to Britain and Ireland where this is the climax 'temperate rainforest' community of Europe's Atlantic coast. In Britain it is restricted to sites in the west of the country, many of which have been subject to management - including forestry practices - which have degraded their nature conservation interest. Underplanting and replacement of broadleaved deciduous species by exotic conifers; invasive plants like rhododendron; increasing pressure from deer browsing which reduces natural regeneration; and in some areas high visitor numbers, are among the key threats to these ancient oak woodlands.

The project was concerned with improving the habitat condition in seven of the most extensive Atlantic woodlands in Britain, ranging from Loch Maree in the far north-west of Scotland, through the popular Loch Lomond woodlands within easy reach of Glasgow, to Borrowdale woods in the Lake District and Meirionnydd oakwoods in north-west Wales. Together they cover nearly 4,900 ha of Atlantic oakwood habitat.

At each site, a set of management targets was to be established based on the most important perceived threats. Actions would target the clearance of around 690 ha of exotic conifers and broadleaves, treatment of around 405 ha to eradicate rhododendron, and treatment of a further area of over 370 ha to control bracken. Another important activity would be controlling grazing - particularly by sheep, deer and feral goats through a mixture of stock fencing - over 60 km - and deer culling. The effectiveness of the various measures was to be monitored and assessed and the results disseminated on a web-site."
175,526,The National Trust - East Anglia Regional Office,552028.31,220811.32,"Orford Ness is a 16 km shingle spit on the Suffolk coast sheltering a broad belt of saltmarsh, brackish lagoons and neutral grassland. Reputedly the largest spit in Europe, it is also a haven for birds: nearly 40 species breed, migrate or winter over in the area, of which 12 are in Annex I of the Birds Directive. 

It is not just the birds that are attracted to this remote and isolated area. Apart from having stimulated folklore, artists, musicians and poets over the centuries, the place was also a strategically important military site. Owned by the Ministry of Defence until 1973, it was primarily used for military research purposes, including bomb ballistics and firing trials. These all took their toll on the habitats and birds and even today extensive military debris is evident over much of the area. After 1973, unlawful access and activities spread unchecked across the site, resulting in a further dramatic and steady decline in many of the bird species.

This reached such a critical stage that immediate intervention was needed to conserve and restore the area. Having purchased the site in 1994, the National Trust successfully carried out a first series of emergency actions under a LIFE I project (LIFE94NAT/UK/000850), including the large scale removal of all harmful military debris. However, reversing the damage of 60 years of use and neglect is a slow and time-consuming exercise.

The new project was to build upon the successes and results of the first project in order to restore the site to a favourable conservation state."
176,1363,"Dorset County Council, Planning Division",406402.08,199361.02,"The project was based in the county of Dorset, UK, which is situated midway along the south coast of England and occupies a central position in the English Channel region of the EU. Dorset is a coastal county and comprises six district authorities. Most of the county's population is concentrated in the main coastal towns, resorts and harbours and the economy depends heavily on tourism, trade, fisheries and defence, all of which are linked to the presence of the sea. Bournemouth, the centre of a substantial conurbation, is an internationally known resort. The majority of the coastline is undeveloped, internationally famous for its geology, rich in scenic beauty and home to a variety of wildlife. It is protected by many landscape and habitat designations and is a prospective World Heritage Site.

The marine environment is shared by all States adjoining the English Channel and issues such as pollution, water quality, shipping, defence contraction, oil exploration, aggregate extraction, rising sea levels, fisheries and marine recreation are common to all. The Dorset Coast Startegy has attempted to deal with these issues, several of which are of pressing importance, as well as those of a more local nature. 

The land and sea are integrally linked, yet the mechanisms for managing reources in the two are fundamentally different. In the UK the well developed planninig and management systems on land contrast markedly with the sectoral approach at sea. In 1993, the UK Government recognised the need for an extension of the ethos of planning and management strategy into the coastal zone and recommended that local authorities take a lead role with other agencies and interest groups in coordinating the preparation of coastal management plans.

In order to ensure the sustainable development of the Dorset coastal zone a widely accepted strategy was required, which would provide the framework for integrated management in the coastal zone."
177,717,BIP Group Limited,574722.94,149376.76,"Faced with increasing legislative pressure to reduce its emissions of volatile organic compounds (VOC's), BIP decided to review its processes and options for emission reductions. One major source of emissions arose from BIP's operation for producing amino moulding powders. This process uses simple raw materials; urea, methanol, which is converted to formaldehyde, and paper as the main constituents. The operation leads to the release of VOC's comprising mostly formaldehyde and some unreacted methanol. As a first step towards emission reduction, BIP investigated the source of VOC releases from this operation. Most of the emissions were found to come from the powder drying process. The main air stream from the dryers has a flow rate of 60,000 cubic metres per hour, containing low to medium level VOC's (up to several hundred milligrams per cubic metre of air). To comply with IPPC legislation the concentration of VOC's in the air stream needed to be reduced below 5 mg/cubic metre."
178,1092,University of Ulster,1312006.72,630403.23,"The objective was to set up demonstrations in informed, multisectoral, community based, sustainable management of dune/beach systems in the North and Northwest of Ireland which combined utilisation and conservation in the resulting management plan. These were implemented and used as the core of a dissemination programme designed to inform and influence coastal policy at the European level.

Coastal zone management in Ireland traditionally involves the application of hard engineering techniques for stabilisation of the shoreline. The construction of such structures had resulted in beach loss, beach lowering and erosion of adjacent beaches. 

Recent advances in coastal zone management recognise that human activities have a significant impact on coastlines and erosion.   There was a need to introduce less environmentally intrusive approaches to coastal management  to address this that might include planned landward retreat of activities and infrastructure (such a change could only be implemented through consultation with affected communities), modification of landuse practices or abandonment of areas at risk from erosion.  Such an approach required an understanding of the natural environment and the impacts of  human activities on the environment and participation in the management process by all affected parties.  Underlying this was the need to increase general awareness of the issues and impacts of different courses of action."
